PDV: 12499 - SAS SADIC INTERMARCHE                  Date : 18/04/2025   Heure : 11:10:12,,,,,,
"Statistique : Palmarès: Niveau de détail: Par Article, Flux: Vente Nette, Palmarès: Par Quantité, Type valorisation: PA",,,,,,
,,,,,,
"Sélection de données :  De 2024 à 2024,   Sélection des 100 premières lignes. ",,,,,,
Critères de sélection :,,,,,,
Date suppression logique  : vide,,,,,,
Nomenclature  : Du 1010 à 1010,,,,,,
,,,,,,
Rang,ITM8 Prio,EAN Prio,Libellé,Valeur prix vente,Quantité,Prix Kg ou pièce
1,0000099006106,0205010000000,CHEVRE NATURE OU AROMATISE,35446.75,9985,3.6
2,0000099064583,0000000000198,YAOURT AUX FRUITS MERE RICHARD,10198.75,4771,2.1
3,0000043439167,2663702000000,P&C ROCAMADOUR AOP NU 35G,3146.4,2736,1.2
4,0000099060048,0204410000000,TOME DE PROVENCE,12235,2447,5.0
5,0000099041865,0204510000000,PELARDON,6798.75,1813,3.8
6,0000099041874,0204600000000,ST MARCELLIN MERE RICHARD,6367.68,1608,4.0
7,0000099041873,0204590000000,ST FELICIEN MERE RICHARD,9084,1514,6.0
8,0000099041867,0204530000000,SECHONS DE CHEVRE,3970.25,1458,2.7
9,0000019315996,3237054005744,FE ST FELICIEN ST MARCEL 260G,9071.99,1383,6.6
10,0000043439418,2663716000000,CROTTIN DE CHAVIGNOL AOP 60G,3913.05,1373,2.9
11,0000019026731,2663713000000,ETOILE QUERCY PAVE DU LOT 180G,6683.6,1361,4.9
12,0000099060040,0204830000000,LE VENTOUX,4769.7,1223,3.9
13,0000099041863,2670978000000,BANON FEUILLE,7121.6,1132,6.3
14,0000019026713,2663532000000,ST FELICIEN TENTATION 200G,5264,1120,4.7
15,0000099041859,0204450000000,BOUYGUETTE,7410.1,1114,6.7
16,0000019676898,3523230034289,FE ST FELICIEN AFFINE 150G,4157.11,1097,3.8
17,0000099059676,0204660000000,PICODON AOP MERE RICHARD,3858.85,1087,3.6
18,0000043434119,3250391104116,FE P&C ST MARCELLIN IGP 2X80GR,3892.02,1043,3.7
19,0000099006090,0204880000000,MOZZARELLA DI BUFFALA,4104.05,1039,4.0
20,0000099031468,0206360000000,XV DU PIC,4780.8,996,4.8
21,0000019278690,3358150002120,FE CHEVRE FRAIS 115G,2406.88,986,2.4
